	DSInum	term_freq	word
926	28	0	repeal
927	28	0	and
928	28	0	replace
929	28	0	Ryan
930	28	0	construction
931	28	0	cost
932	28	1	Department
933	28	0	of
934	28	0	Homeland
935	28	0	Security
936	28	0	U.S
937	28	0	Mexico
938	28	0	border
939	28	0	Community
940	28	0	Small
941	28	0	Business
942	28	0	Small
943	28	0	Business
944	28	0	Confidence
945	28	0	Affordable
946	28	0	Care
947	28	0	Act
948	28	2	Regulations
949	28	0	Small
950	28	0	business
951	28	0	Community
952	28	0	United
953	28	0	States
954	28	0	Economy
955	28	0	Small
956	28	0	business
957	28	0	confidence
958	28	0	tax
959	28	0	overhaul
960	29	1	administration
961	29	0	americanEnergy
962	29	0	bank
963	29	0	barackObama
964	29	0	border
965	29	0	bridge
966	29	0	business
967	29	0	campaign
968	29	0	climateChange
969	29	0	congress
970	29	0	conservative
971	29	0	democracy
972	29	0	democrat
973	29	0	democraticParty
974	29	2	economy
975	29	0	election
976	29	0	energy
977	29	0	environment
978	29	0	government
979	29	0	hack
980	29	0	hillaryClinton
981	29	0	houseRepublican
982	29	0	immigrant
983	29	0	immigration
984	29	0	intelligenceAgency
985	29	0	keystonePipeline
986	29	0	lawmaker
987	29	0	leader
988	29	0	legislation
989	29	0	media
990	29	0	mexico
991	29	0	money
992	29	0	moscow
993	29	0	obamacare
994	29	2	party
995	29	0	power
996	29	0	presidency
997	29	3	president
998	29	0	presidentElect
999	29	0	regulation
1000	29	0	republican
1001	29	0	republicanLawmakers
1002	29	0	republicanLeaders
1003	29	0	restriction
1004	29	0	russia
1005	29	0	russian
1006	29	0	sanction
1007	29	1	secretary
1008	29	0	taxBreak
1009	29	0	terrorist
1010	29	0	transitionStaff
1011	29	0	transPacificPartnership
1012	29	0	tweet
1013	29	0	twitter
1014	29	0	vladimirPutin
1015	29	1	vote
1016	29	0	voter
1017	29	0	wall
1018	29	0	war
1019	29	0	washington
1020	29	0	whiteHouse
1021	29	0	hiring
1022	29	0	freeze
1023	29	0	job
1024	29	0	order
1025	29	0	uncertainty
1026	29	0	work
1027	29	0	Freedom
1028	29	0	Caucus
1029	29	0	Gerrymander
1030	29	3	House
1031	29	0	of
1032	29	0	Reresentatives
1033	29	0	jobs
1034	29	0	executive
1035	29	0	order
1036	29	6	Internet
1037	29	3	Service
1038	29	0	Provider
1039	29	6	Internet
1040	29	1	User
1041	29	2	Sensitive
1042	29	8	Information
1043	29	6	Internet
1044	29	3	History
1045	29	1	Federal
1046	29	2	Communications
1047	29	1	Commission
1048	29	5	FCC
1049	29	5	rules
1050	29	0	Advertiser
1051	29	1	Health
1052	29	8	Information
1053	29	3	Advocates
1054	29	1	Virtual
1055	29	1	Private
1056	29	1	Network
1057	29	2	Consumer
1058	29	1	Permission
1059	29	0	coal
1060	29	0	miners
1061	29	0	environmental
1062	29	0	regulation
1063	29	0	certain
1064	29	0	Middle-Eastern
1065	29	0	countries
1066	29	0	emergency
1067	29	0	stay
1068	29	0	our
1069	29	0	country
1070	29	0	refugees
1071	29	0	Travel
1072	29	0	ban
1073	29	0	Japan
1074	29	0	Navarro
1075	29	0	trade
1076	29	0	deficit
1077	29	0	trading
1078	29	0	partners
1079	29	0	Military
1080	29	0	action
1081	29	0	Missile
1082	29	0	North
1083	29	0	Korea
1084	29	0	nuclear
1085	29	0	testing
1086	29	0	Rex
1087	29	0	Tillerson
1088	29	0	South
1089	29	0	Korea
1090	29	0	threats
1091	29	0	christopher
1092	29	0	steele
1093	29	0	fbi
1094	29	0	kremlin
1095	29	0	election
1096	29	0	involvement
1097	29	0	mickhail
1098	29	0	kulagin
1099	29	0	bankruptcy
1100	29	4	bill
1101	29	0	Healthcare
1102	29	0	reform
1103	29	0	foreign
1104	29	0	country
1105	29	0	lawful
1106	29	0	restriction
1107	29	1	public
1108	29	0	safety
1109	29	0	travel\xca
1110	29	0	United
1111	29	0	States
1112	29	0	American
1113	29	1	Health
1114	29	0	Care
1115	29	0	Act
1116	29	0	deductibles
1117	29	0	premiums
1118	29	0	repeal
1119	29	0	and
1120	29	0	replace
1121	29	0	Ryan
1122	29	0	construction
1123	29	0	cost
1124	29	0	Department
1125	29	0	of
1126	29	0	Homeland
1127	29	1	Security
1128	29	0	U.S
1129	29	0	Mexico
1130	29	0	border
1131	29	0	Community
1132	29	0	Small
1133	29	0	Business
1134	29	0	Small
1135	29	0	Business
1136	29	0	Confidence
1137	29	0	Affordable
1138	29	0	Care
1139	29	0	Act
1140	29	0	Regulations
1141	29	0	Small
1142	29	0	business
1143	29	0	Community
1144	29	0	United
1145	29	0	States
1146	29	2	Economy
1147	29	0	Small
1148	29	0	business
1149	29	0	confidence
1150	29	0	tax
1151	29	0	overhaul
1152	30	0	administration
1153	30	0	americanEnergy
1154	30	0	bank
1155	30	0	barackObama
1156	30	9	border
1157	30	0	bridge
1158	30	0	business
1159	30	3	campaign
1160	30	0	climateChange
1161	30	4	congress
1162	30	0	conservative
1163	30	0	democracy
1164	30	0	democrat
1165	30	0	democraticParty
1166	30	0	economy
1167	30	0	election
1168	30	0	energy
1169	30	0	environment
1170	30	3	government
1171	30	0	hack
1172	30	0	hillaryClinton
1173	30	0	houseRepublican
1174	30	0	immigrant
1175	30	0	immigration
1176	30	0	intelligenceAgency
1177	30	0	keystonePipeline
1178	30	0	lawmaker
1179	30	1	leader
1180	30	0	legislation
1181	30	0	media
1182	30	6	mexico
1183	30	0	money
1184	30	0	moscow
1185	30	0	obamacare
1186	30	0	party
1187	30	0	power
1188	30	0	presidency
1189	30	3	president
1190	30	0	presidentElect
1191	30	0	regulation
1192	30	1	republican
1193	30	0	republicanLawmakers
1194	30	0	republicanLeaders
1195	30	0	restriction
1196	30	0	russia
1197	30	0	russian
1198	30	0	sanction
1199	30	1	secretary
1200	30	0	taxBreak
1201	30	0	terrorist
1202	30	0	transitionStaff
1203	30	0	transPacificPartnership
1204	30	0	tweet
1205	30	0	twitter
1206	30	0	vladimirPutin
1207	30	0	vote
1208	30	0	voter
1209	30	4	wall
1210	30	0	war
1211	30	0	washington
1212	30	0	whiteHouse
1213	30	0	hiring
1214	30	0	freeze
1215	30	0	job
1216	30	1	order
