	EC	DSI1	DSI2	DSI3	DSI4	DSI5	DSI6	DSI7	DSI8	DSI9	DSI10	DSI11	DSI12	DSI13	DSI14	DSI15	DSI16	DSI17	DSI18	DSI19	DSI20	DSI21	DSI22	DSI23	DSI24	DSI25	DSI26	DSI27	DSI28	DSI29	DSI30	DSI31	DSI32	DSI33	DSI34	DSI35	DSI36	DSI37	DSI38	DSI39	DSI40
121	twitter	0	2	0	0	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0
122	uncertainty	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
123	unitedStates	8	24	13	0	0	4	0	4	4	0	0	0	0	8	4	0	4	4	8	0	53	8	4	8	36	4	16	4	0	4	0	8	13	4	0	0	8	8	0	0
124	vladimirPutin	0	3	0	0	0	0	0	0	0	0	8	0	4	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	vote	0	0	0	0	0	0	1	0	0	2	0	1	1	1	0	0	1	0	0	0	0	2	0	0	64	1	0	0	2	0	0	0	0	1	5	0	0	0	6	0
126	voter	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0
127	wall	0	0	1	0	0	0	0	2	0	0	0	0	0	0	21	0	1	15	0	0	0	0	0	0	2	0	0	0	0	7	1	0	5	0	0	0	0	0	0	0
128	war	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	washington	0	0	4	0	1	0	0	0	1	0	3	0	1	4	1	1	0	0	1	0	2	0	0	0	3	3	0	0	0	0	1	0	1	1	1	0	0	4	0	0
130	whiteHouse	0	1	2	2	0	0	0	0	0	0	0	2	0	2	0	0	1	0	1	2	1	1	0	3	11	3	0	1	1	1	3	0	1	1	2	1	2	0	0	2
131	work	0	0	1	0	1	0	0	1	2	0	0	2	1	0	1	3	1	0	0	0	1	0	0	1	10	3	0	0	0	1	1	0	0	0	1	1	0	0	0	2
