word_count	ontology	EC	Term
1	foreignEngagements	militaryAction	military
1	domesticSecurity	domesticSecurity	defense
1	internetPrivacy	internetHistory	internet
1	internetPrivacy	internetHistory	isps
1	internetPrivacy	SensitiveInformation	information
1	internetPrivacy	internetHistory	privacy
1	internetPrivacy	internetUser	users
1	internetPrivacy	internetHistory	data
1	governmentActions	regulation	rules
1	internetPrivacy	InternetHistory	history
1	economy	budgetCuts	budget
1	governmentActions	bill	bills
2	foreignAreas	foreigner	foreign nationals
3	govAppointedRole	DepartmentofHomelandSecurity	secretary homeland security
4	govAppointedRole	intelligenceAgency	director of national intelligence
2	govAppointedRole	attorneyGeneral	attorney general
1	foreignConcepts	entryIntoUS	entry
1	business	autoManufacturing	factory
1	business	autoManufacturing	ford
1	business	autoManufacturing	car
1	business	markFields	fields
1	business	autoManufacturing	auto
1	business	autoManufacturing	michigan
1	business	autoManufacturing	compact
1	govAppointedRole	supremeCourt	court
1	govAppointedRole	supremeCourt	supreme
1	govAppointedRole	supremeCourt	scalia
1	party	conservative	liberal
1	govAppointedRole	supremeCourt	kennedy
1	govAppointedRole	supremeCourt	justice
1	govAppointedRole	supremeCourt	list
1	govAppointedRole	supremeCourt	bloc
1	party	democraticParty	liberals
1	party	democraticParty	liberal
